1.1,1.2,2.1,2.2,3.1,3.2,4.1,4.2,5.1,5.2,6.1,6.2,7.1,7.2,8.1,8.2,9.1,9.2,10.1,10.2,11.1,11.2,12.1,12.2
-1.6,-6.0,2.2,-0.6,12.1,6.3,22.7,10.7,---,---,29,21,27.6,17.4,36.8,23.4,---,---,---,---,13,6.1,6.7,-0.7
-0.5,-4.8,5.5,1.9,14.1,2.2,25.4,11,---,---,30.1,17.2,26,19.1,37,23.9,---,---,---,---,16,8.3,3.9,-0.8
4.2,-0.7,14.6,3.2,15.3,5.9,26.9,11.7,---,---,31.5,18.8,27.2,19.1,38.5,24.7,---,---,---,---,16.6,8.7,2.7,-0.6
4.3,-0.9,9.3,2.2,18.8,6.5,24.5,14.5,---,---,31,19.2,29.2,16.8,38.7,25.1,---,---,---,---,14.4,4.8,3.5,0.6
3.1,-4.2,12.5,2.5,13.6,8.3,18.4,12.3,---,---,30.2,17,31.3,19.9,36.4,26.8,---,---,---,---,14.3,5.2,6.3,2
-3.3,-10.4,6.6,3.8,14.2,5.8,13.4,8.3,---,---,30.7,19.4,31.7,20.6,34.3,20.5,---,---,---,---,15.4,6.8,7.6,5.2
-6.3,-12.6,5,1.6,14.4,3.6,11.7,7.8,---,---,23.8,16.5,29.6,19.4,23.3,17.4,---,---,---,---,15.1,6.1,7.9,2.1
-3.9,-14.1,1.8,0.7,16,7.9,18.1,8.2,---,---,26.2,15.3,32.7,19.4,27.7,16.1,---,---,---,---,10.6,8.1,6.7,1.3
-1.0,-10.6,3.4,0.6,13.6,7.5,18.3,10.6,---,---,27.8,15.3,32.4,21.5,34.7,20.4,---,---,---,---,11.5,8.1,4.1,1.4
-4.3,-9.3,3.6,0.5,8.9,4.9,21,9.4,---,---,27.7,18.4,35.5,20.5,37.2,24.2,---,---,---,---,11.3,9.3,4.7,0.4
0.5,-9.4,5.7,-0.6,13.4,4.3,16.4,9.9,24.0,0.0,29.6,15.9,30.4,20.9,35.7,23.4,---,---,---,---,12.7,7.9,13.1,3.6
2.6,-7.4,5.9,-1.5,10,5.3,16.9,7,24.8,15.0,31.2,18.2,30.6,19.7,26.1,18.6,---,---,---,---,10.8,7.6,14.1,4.6
2.2,0.0,3.6,-2.6,15.3,4.1,18.6,9.7,25.3,15.4,29.5,21.5,24.9,18.7,25.2,17.7,---,---,---,---,10.2,5,7,2.1
6.0,1.7,1.3,-3.3,14.5,4.8,18.2,9.4,26.2,14.2,26.7,19.1,24,15.4,30.4,16.7,---,---,---,---,10.1,3.4,5.5,1.3
5.3,-0.2,1.3,-2.4,13.2,4.2,18.5,8.9,26.0,15.1,29,17,24.3,17,31.9,18.9,---,---,---,---,9.4,1,9,5.2
0.0,-5.4,0.4,-1.8,15.3,6.4,16.1,9.6,26.8,15.9,24.5,18.4,27.3,16.2,32.4,22.2,---,---,---,---,9.1,3.4,7.1,2.4
2.4,-2.5,2.1,-1.9,15.1,6.1,18.2,6.2,26.2,15.4,21.3,15.4,29.9,16.6,33.9,20.6,---,---,---,---,8.8,5.5,6.3,-0.9
---,---,7.5,-1.3,12,8.5,12.8,6.3,26.8,14.1,28,15.1,31.5,18.8,34.4,21.6,---,---,---,---,10.1,5.2,3.4,-0.6
3.4,-4.0,7.5,0.9,13.8,6.9,6.3,1.9,27.6,15.0,31.1,18.3,33,18.9,32.2,19.9,---,---,---,---,6.6,3.6,3,-1.1
2.6,-6.9,7.6,0.8,17.3,8.3,6.4,2.8,24.7,16.1,33.2,19.4,35.1,21.4,24.3,17.3,18.9,13.1,---,---,8.6,3.1,1.4,-4.5
3.0,-6.3,10.7,3.7,21.4,8.4,12.8,1.4,26.2,15.5,34.2,20.8,32.3,22.8,25.1,14.7,13.1,11.7,---,---,8.4,3.7,2.9,-2.3
1.8,-6.2,13.1,5.3,23.6,11.7,15.3,7.5,28.3,15.8,35.3,21.5,31.8,21.6,24.4,15.6,20.2,12.3,---,---,14.5,7.3,6.2,2.2
0.6,-5.7,15.2,7.5,23,11.8,14,5.7,27.0,15.6,33.3,22.1,33.1,21.3,24.4,15.3,17.2,10.2,---,---,7.8,4.1,9.4,4.3
2.6,-6.8,12.6,6.8,20.9,10,15.6,5.9,24.3,15.4,33.2,21.4,32.5,20.8,29,14.3,17.5,12.5,---,---,7.9,6.5,11.9,7.7
0.9,-3.7,9.8,2.2,17.2,9.4,22,7.9,21.5,11.2,29.4,20.7,23.8,16.6,32.8,18.6,20.6,11.7,---,---,8.8,6.2,11.6,4.5
3.7,-7.9,9.5,0.9,15.2,6.7,21.7,12.8,24.9,14.7,30.6,20.1,24.6,16.5,34.8,19.9,23.8,14.7,---,---,8.1,3.7,6.1,1.4
-3.6,-8.1,14.5,3.1,16.5,4,20.9,12.1,25.9,14.8,31.1,20.6,22,15.9,35.4,21.5,22.3,14.9,---,---,7.3,2.2,12.7,4
-4.7,-8.5,17.2,7.4,22.3,6.4,19.2,7.7,26.7,16.2,34,21.9,31.2,17.4,28.7,20.7,20.9,12.5,---,---,7.7,-0.5,8.7,4.8
-2.4,-8.6,,,23.6,11,13.8,7,28.4,15.7,27.9,19.4,30.5,19,27.9,18,19.4,10.3,---,---,4.4,1.4,4.8,1.3
-3.9,-7.9,,,21.2,13.1,17.5,7.9,31.1,17.9,30.3,19.9,32.6,19.3,28.5,16.9,19.1,9.9,---,---,3.8,1.5,2.9,-1.1
-0.5,-5.0,,,21.2,9.8,,,31.4,20.4,,,34.9,22,32,17.2, ,,---,---,,,7.9,2.4
